ano,sigla_uf,area_total_plantada
2001,SE,106536
2002,SE,104208
2003,SE,103416
2004,SE,106860
2005,SE,106326
2006,SE,118143
2007,SE,108469
2008,SE,107504
2009,SE,107039
2010,SE,108966
2011,SE,107432
2012,SE,108700
2013,SE,105960
2014,SE,99705
2015,SE,97310
2016,SE,87157
2017,SE,79615
2018,SE,65801
1994,SP,1108845
1995,SP,1024138
1996,SP,1129347
1997,SP,1155987
1998,SP,1208167
1999,SP,1232947
2000,SP,1026143
2001,SP,999170
2002,SP,1021784
2003,SP,1039706
2004,SP,1009632
2005,SP,999199
2006,SP,983692
2007,SP,982605
2008,SP,974727
2009,SP,932161
2010,SP,1020678
2011,SP,975075
2012,SP,1095609
2013,SP,1058607
2014,SP,1035046
2015,SP,1009910
2016,SP,1003965
2017,SP,997214
2018,SP,997240
1994,TO,12681
1995,TO,10721
1996,TO,7739
1997,TO,7981
1998,TO,8546
1999,TO,7461
2000,TO,6555
2001,TO,7093
2002,TO,8340
2003,TO,7512
2004,TO,7085
2005,TO,7222
2006,TO,7053
2007,TO,7409
2008,TO,6996
2009,TO,7231
2010,TO,5779
2011,TO,6398
2012,TO,6486
2013,TO,5305
2014,TO,4269
2015,TO,4209
2016,TO,4577
2017,TO,4083
2018,TO,13074
